# 標點淨化 campaign 工作清單 — 144 篇（破折號>15 或 分號>12）
# 產生：punct-cleanup.py --worklist
# 欄位：path\tem_dash\tsemicolon\tcategory\tfeatured
knowledge/People/三毛.md	22	0	People	-
knowledge/People/江振誠.md	8	14	People	featured
knowledge/People/王小棣.md	21	1	People	-
knowledge/Society/中華台北.md	9	13	Society	-
knowledge/History/台灣轉型正義.md	16	5	History	-
knowledge/Society/台灣的年級生世代.md	0	21	Society	-
knowledge/Technology/台灣AI日常.md	20	1	Technology	-
knowledge/Art/金馬賓館當代美術館.md	18	2	Art	-
knowledge/Economy/台灣產業轉型升級.md	0	20	Economy	featured
knowledge/Economy/台灣金融科技發展.md	19	1	Economy	-
knowledge/Food/台南中西區美食小吃文化.md	17	3	Food	-
knowledge/Food/埔里紹興酒.md	16	4	Food	-
knowledge/Society/偏遠地區學校教育發展條例全解.md	7	13	Society	featured
knowledge/Society/公視.md	2	18	Society	-
knowledge/Society/台灣高等教育擴張與退場.md	5	15	Society	-
knowledge/Geography/宜蘭縣.md	0	19	Geography	-
knowledge/Lifestyle/台灣捷運發展史.md	16	3	Lifestyle	featured
knowledge/Society/台北吸菸室.md	2	17	Society	-
knowledge/Society/我是OO人.md	6	13	Society	-
knowledge/Technology/mini-taiwan-pulse.md	3	16	Technology	-
knowledge/Culture/台灣茶道與生活美學.md	17	1	Culture	featured
knowledge/Food/台灣小吃.md	4	14	Food	-
knowledge/Geography/台灣河川系統與水文特色.md	1	17	Geography	featured
knowledge/Society/泛科學.md	2	16	Society	-
knowledge/Technology/台灣的電力與半導體.md	0	18	Technology	-
knowledge/Culture/台灣傳統工藝與無形文化資產.md	1	16	Culture	-
knowledge/Economy/台灣企業：聯發科技.md	17	0	Economy	-
knowledge/Economy/台灣循環經濟與資源再利用.md	4	13	Economy	-
knowledge/Geography/高雄市.md	2	15	Geography	-
knowledge/Technology/海底電纜.md	17	0	Technology	featured
knowledge/Art/王連晟.md	3	13	Art	-
knowledge/Economy/農業科技與精緻農業.md	2	14	Economy	-
knowledge/Geography/城市特色與區域文化.md	0	16	Geography	featured
knowledge/Society/台灣志工文化與公益參與.md	16	0	Society	-
knowledge/Society/台灣統獨光譜.md	0	16	Society	-
knowledge/About/文章如何誕生.md	0	15	About	-
knowledge/Geography/台中市.md	0	15	Geography	-
knowledge/Geography/屏東縣.md	0	15	Geography	-
knowledge/People/大支.md	0	15	People	-
knowledge/Technology/AI供應鏈海外設廠.md	0	15	Technology	-
knowledge/Art/數位荒原.md	1	13	Art	-
knowledge/Economy/台灣科技園區外圍商圈生態.md	0	14	Economy	-
knowledge/Geography/連江縣.md	0	14	Geography	-
knowledge/Music/台灣搖滾樂發展史.md	0	13	Music	featured
knowledge/Music/大象體操.md	0	13	Music	-
knowledge/Society/台灣偏鄉教育.md	0	13	Society	-
knowledge/Society/台灣少子化危機.md	0	13	Society	-
knowledge/Society/台灣災難志工文化.md	0	13	Society	-
knowledge/Society/巴拉圭與台灣.md	0	13	Society	featured
