資料所屬年度,政府別,公共債務法規範之債務_1年以上債務_金額_新臺幣百萬元,公共債務法規範之債務_1年以上債務_比率_百分比,公共債務法規範之債務_未滿1年債務_金額_新臺幣百萬元,公共債務法規範之債務_未滿1年債務_比率_百分比,公共債務法規範之債務_債務合計_金額_新臺幣百萬元,公共債務法規範之債務_自償性債務_新臺幣百萬元
095,中央政府,3622642,30.59%,110000,6.52%,3732642,481211
095,地方政府,563649,4.76%,129700,13.52%,693349,95971
095,直轄市,303997,-,0,-,303997,31357
095,臺北市,184218,1.56%,0,0.00%,184218,14854
095,高雄市,119779,1.01%,0,0.00%,119779,16503
095,縣市,251869,2.13%,129172,22.51%,381041,62558
095,臺北縣,38781,42.35%,18700,24.83%,57481,3171
095,桃園縣,21425,38.01%,14190,29.52%,35615,3797
095,宜蘭縣,8956,42.15%,6701,36.91%,15657,2786
095,新竹縣,11948,43.97%,7263,30.75%,19211,11619
095,苗栗縣,11575,39.27%,6421,31.55%,17996,25
095,臺中縣,19950,30.89%,10657,25.51%,30607,10317
095,彰化縣,11168,30.30%,2500,7.84%,13668,1687
095,南投縣,12317,42.47%,2832,13.80%,15149,216
095,雲林縣,14009,41.47%,6308,26.70%,20317,5586
095,嘉義縣,11835,38.29%,5488,24.91%,17323,3270
095,臺南縣,18090,41.05%,9964,28.75%,28054,9613
095,高雄縣,9160,21.64%,8500,24.68%,17660,0
095,屏東縣,14389,39.21%,5881,19.99%,20270,0
095,臺東縣,3525,25.11%,2142,17.65%,5667,359
095,花蓮縣,6010,32.64%,3266,20.07%,9276,0
095,澎湖縣,900,10.47%,302,4.32%,1202,0
095,基隆市,6653,30.71%,2300,13.16%,8953,0
095,新竹市,8927,43.28%,2670,16.58%,11597,1174
095,臺中市,7055,18.17%,3926,11.55%,10981,5257
095,嘉義市,2132,14.98%,2044,18.65%,4176,17
095,臺南市,13064,40.82%,7117,28.69%,20181,3364
095,金門縣,0,0.00%,0,0.00%,0,300
095,連江縣,0,0.00%,0,0.00%,0,0
095,鄉鎮市,7783,0.07%,528,0.42%,8311,2056
094,合計,4100632,36.10%,279557,-,4380189,639800
094,中央政府,3549617,31.25%,157000,8.93%,3706617,541751
094,地方政府,551015,4.85%,122557,-,673572,98049
094,直轄市,310995,-,0,-,310995,41976
094,臺北市,189948,1.67%,0,0.00%,189948,22466
094,高雄市,121047,1.07%,0,0.00%,121047,19510
094,縣市,231608,2.04%,122091,21.08%,353699,53827
094,臺北縣,39236,40.18%,17820,22.66%,57056,4322
094,桃園縣,17650,31.86%,14878,31.07%,32528,4424
094,宜蘭縣,8986,40.04%,7098,35.72%,16084,4239
094,新竹縣,10636,42.62%,6723,31.42%,17359,5304
094,苗栗縣,10700,35.59%,5527,26.45%,16227,0
094,臺中縣,15843,24.08%,10101,23.75%,25944,8626
094,彰化縣,10193,26.67%,2350,7.09%,12543,1809
094,南投縣,11047,35.53%,1090,5.59%,12137,444
094,雲林縣,13722,39.77%,6183,25.99%,19905,3671
094,嘉義縣,11409,39.86%,5320,25.72%,16729,2840
094,臺南縣,17934,41.50%,9269,27.32%,27203,8366
094,高雄縣,8426,20.06%,8500,24.15%,16926,0
094,屏東縣,13508,39.22%,4410,16.58%,17918,0
094,臺東縣,2650,19.13%,1498,13.09%,4148,370
094,花蓮縣,5250,27.95%,3509,22.77%,8759,0
094,澎湖縣,0,0.00%,1123,14.06%,1123,0
094,基隆市,5663,25.93%,1400,7.93%,7063,0
094,新竹市,7640,35.35%,2897,17.33%,10537,1061
094,臺中市,6562,15.49%,4173,10.82%,10735,4138
094,嘉義市,1489,10.33%,2051,20.23%,3540,17
094,臺南市,13064,44.37%,6171,26.11%,19235,3796
094,金門縣,0,0.00%,0,0.00%,0,400
094,連江縣,0,0.00%,0,0.00%,0,0
094,鄉鎮市,8412,0.07%,466,0.33%,8878,2246
093,合計,3878450,35.89%,356561,-,4235011,618932
093,中央政府,3362141,31.11%,240100,14.14%,3602241,505881
093,地方政府,516309,4.78%,116461,-,632770,113051
093,直轄市,305451,-,0,-,305451,59022
093,臺北市,197624,1.83%,0,0.00%,197624,33472
093,高雄市,107827,1.00%,0,0.00%,107827,25550
093,縣市,201388,1.86%,116179,20.15%,317567,52583
093,臺北縣,41759,39.74%,22083,25.10%,63842,5910
093,桃園縣,16800,31.50%,9141,19.19%,25941,3467
093,宜蘭縣,7704,36.83%,5478,29.43%,13182,6822
093,新竹縣,8862,38.44%,5681,28.31%,14543,5483
093,苗栗縣,7942,28.99%,5749,29.44%,13691,15
093,臺中縣,11730,18.51%,8450,19.85%,20180,7773
093,彰化縣,10193,27.39%,749,2.38%,10942,1741
093,南投縣,8575,25.42%,646,3.04%,9221,387
093,雲林縣,10722,30.64%,7571,30.44%,18293,2643
093,嘉義縣,9359,33.94%,5176,28.64%,14535,2815
093,臺南縣,12862,33.01%,13433,41.10%,26295,3396
093,高雄縣,7870,19.64%,8500,24.53%,16370,0
093,屏東縣,12612,33.31%,4191,15.26%,16803,0
093,臺東縣,1600,10.51%,1013,8.32%,2613,539
093,花蓮縣,4250,23.15%,2415,15.64%,6665,0
093,澎湖縣,4,0.04%,656,7.91%,660,0
093,基隆市,4136,19.42%,0,0.00%,4136,0
093,新竹市,5419,25.23%,2957,16.95%,8376,759
093,臺中市,6105,16.09%,3091,9.22%,9196,6278
093,嘉義市,1460,9.30%,1500,14.17%,2960,450
093,臺南市,11424,42.50%,7699,35.60%,19123,3655
093,金門縣,0,0.00%,0,0.00%,0,450
093,連江縣,0,0.00%,0,0.00%,0,0
093,鄉鎮市,9470,0.09%,282,0.19%,9752,1446
